order_date, order_week, distribution_center, sales_order, pool, item_number, mold, order_quantity, ship_month, week_ship, production_department, cast_completed, cast_shortage, casting_deadline, export_to_ie, pending_export, remarks
2024-11-11 23:57:18,W46,PAN,SO24003869,OEM Replenishment order,297822,,1850.0,Jan,W2,Cell-1,,-1850,,,-1850,
2024-11-11 23:57:21,W46,PAN,SO24003869,OEM Replenishment order,193158C01-50,,50.0,Jan,W2,Cell-5,,-50,,,-50,
2024-11-11 23:57:21,W46,PAN,SO24003869,OEM Replenishment order,193158C01-52,,50.0,Jan,W2,Cell-5,,-50,,,-50,
2024-11-11 23:57:20,W46,PAN,SO24003869,OEM Replenishment order,193158C01-54,,100.0,Jan,W2,Cell-5,,-100,,,-100,
2024-11-11 23:57:21,W46,PAN,SO24003869,OEM Replenishment order,193158C01-56,,100.0,Jan,W2,Cell-5,,-100,,,-100,
2024-11-11 23:57:21,W46,PAN,SO24003869,OEM Replenishment order,193158C01-58,,100.0,Jan,W2,Cell-5,,-100,,,-100,
2024-11-11 23:57:22,W46,PAN,SO24003869,OEM Replenishment order,193158C01-60,,150.0,Jan,W2,Cell-5,,-150,,,-150,
2024-11-11 23:57:17,W46,PAN,SO24003869,OEM Replenishment order,293171C01,,300.0,Jan,W2,Cell-5,,-300,,,-300,
2024-11-11 23:55:30,W46,EDC,SO24003863,OEM Replenishment order,296317CZ,,1650.0,Jan,W2,Cell-5,,-1650,,,-1650,
2024-11-11 23:57:18,W46,PAN,SO24003869,OEM Replenishment order,296317CZ,,2600.0,Jan,W2,Cell-5,,-2600,,,-2600,
2024-11-11 23:58:13,W46,TDC,SO24003872,OEM Replenishment order,296317CZ,,150.0,Jan,W2,Cell-5,,-150,,,-150,
2024-11-11 23:59:33,W46,UKD,SO24003875,OEM Essential Order,296317CZ,,150.0,Jan,W2,Cell-5,,-150,,,-150,
2024-11-11 23:57:18,W46,PAN,SO24003869,OEM Replenishment order,296319CZ,,500.0,Jan,W2,Cell-5,,-500,,,-500,
2024-11-11 23:59:11,W46,UKD,SO24003874,OEM Replenishment order,298307C00,,3000.0,Jan,W2,Cell-5,,-3000,,,-3000,
2024-11-11 23:57:25,W46,PAN,SO24003869,OEM Replenishment order,593317C00-1,,100.0,Jan,W2,Cell-5,,-100,,,-100,
2024-11-11 23:58:21,W46,TDC,SO24003872,OEM Replenishment order,593317C00-2,,150.0,Jan,W2,Cell-5,,-150,,,-150,
2024-11-11 23:58:18,W46,TDC,SO24003872,OEM Replenishment order,593317C00-3,,150.0,Jan,W2,Cell-5,,-150,,,-150,
2024-11-11 23:57:48,W46,PAN,SO24003870,OEM Essential Order,288307,,1950.0,Jan,W2,Cell-5,,-1950,,,-1950,
2024-11-11 23:55:29,W46,EDC,SO24003863,OEM Replenishment order,286317C01,,500.0,Jan,W2,Cell-5,,-500,,,-500,
2024-11-11 23:57:17,W46,PAN,SO24003869,OEM Replenishment order,286317C01,,1150.0,Jan,W2,Cell-5,,-1150,,,-1150,
2024-11-11 23:55:33,W46,EDC,SO24003863,OEM Replenishment order,782433C01,,600.0,Jan,W2,Cell-5,,-600,,,-600,
2024-11-11 23:55:32,W46,EDC,SO24003863,OEM Replenishment order,163157C01-48,,50.0,Jan,W2,Cell-5,,-50,,,-50,
2024-11-11 23:55:33,W46,EDC,SO24003863,OEM Replenishment order,163157C01-58,,100.0,Jan,W2,Cell-5,,-100,,,-100,
2024-11-11 23:58:51,W46,TDC,SO24003873,OEM Essential Order,163262C00-48,,50.0,Jan,W2,Cell-1,,-50,,,-50,
2024-11-11 23:57:22,W46,PAN,SO24003869,OEM Replenishment order,163262C00-50,,50.0,Jan,W2,Cell-1,,-50,,,-50,
2024-11-11 23:58:17,W46,TDC,SO24003872,OEM Replenishment order,163262C00-50,,50.0,Jan,W2,Cell-1,,-50,,,-50,
2024-11-11 23:57:22,W46,PAN,SO24003869,OEM Replenishment order,163262C00-52,,250.0,Jan,W2,Cell-1,,-250,,,-250,
2024-11-11 23:58:17,W46,TDC,SO24003872,OEM Replenishment order,163262C00-52,,50.0,Jan,W2,Cell-1,,-50,,,-50,
2024-11-11 23:59:12,W46,UKD,SO24003874,OEM Replenishment order,163262C00-52,,50.0,Jan,W2,Cell-1,,-50,,,-50,
2024-11-11 23:57:22,W46,PAN,SO24003869,OEM Replenishment order,163262C00-54,,550.0,Jan,W2,Cell-1,,-550,,,-550,
2024-11-11 23:57:22,W46,PAN,SO24003869,OEM Replenishment order,163262C00-56,,400.0,Jan,W2,Cell-1,,-400,,,-400,
2024-11-11 23:58:48,W46,TDC,SO24003873,OEM Essential Order,163262C00-56,,50.0,Jan,W2,Cell-1,,-50,,,-50,
2024-11-11 23:59:12,W46,UKD,SO24003874,OEM Replenishment order,163262C00-56,,200.0,Jan,W2,Cell-1,,-200,,,-200,
2024-11-11 23:57:22,W46,PAN,SO24003869,OEM Replenishment order,163262C00-58,,200.0,Jan,W2,Cell-1,,-200,,,-200,
2024-11-11 23:58:17,W46,TDC,SO24003872,OEM Replenishment order,163262C00-58,,100.0,Jan,W2,Cell-1,,-100,,,-100,
2024-11-11 23:57:22,W46,PAN,SO24003869,OEM Replenishment order,163262C00-60,,350.0,Jan,W2,Cell-1,,-350,,,-350,
2024-11-11 23:58:49,W46,TDC,SO24003873,OEM Essential Order,163262C00-60,,50.0,Jan,W2,Cell-1,,-50,,,-50,
2024-11-11 23:57:22,W46,PAN,SO24003869,OEM Replenishment order,163285C01-50,,50.0,Jan,W2,Cell-1,,-50,,,-50,
2024-11-11 23:56:26,W46,EDC,SO24003865,OEM Essential Order,163285C01-54,,50.0,Jan,W2,Cell-1,,-50,,,-50,
2024-11-11 23:57:23,W46,PAN,SO24003869,OEM Replenishment order,163285C01-56,,100.0,Jan,W2,Cell-1,,-100,,,-100,
2024-11-11 23:57:23,W46,PAN,SO24003869,OEM Replenishment order,163285C01-58,,150.0,Jan,W2,Cell-1,,-150,,,-150,
2024-11-11 23:57:23,W46,PAN,SO24003869,OEM Replenishment order,163285C01-60,,200.0,Jan,W2,Cell-1,,-200,,,-200,
2024-11-11 23:57:23,W46,PAN,SO24003869,OEM Replenishment order,163288C00-48,,100.0,Jan,W2,Cell-5,,-100,,,-100,
2024-11-11 23:58:17,W46,TDC,SO24003872,OEM Replenishment order,163288C00-48,,100.0,Jan,W2,Cell-5,,-100,,,-100,
2024-11-11 23:57:23,W46,PAN,SO24003869,OEM Replenishment order,163288C00-50,,150.0,Jan,W2,Cell-5,,-150,,,-150,
2024-11-11 23:58:17,W46,TDC,SO24003872,OEM Replenishment order,163288C00-50,,150.0,Jan,W2,Cell-5,,-150,,,-150,
2024-11-11 23:55:34,W46,EDC,SO24003863,OEM Replenishment order,163288C00-52,,100.0,Jan,W2,Cell-5,,-100,,,-100,
2024-11-11 23:57:23,W46,PAN,SO24003869,OEM Replenishment order,163288C00-52,,200.0,Jan,W2,Cell-5,,-200,,,-200,
2024-11-11 23:59:13,W46,UKD,SO24003874,OEM Replenishment order,163288C00-52,,50.0,Jan,W2,Cell-5,,-50,,,-50,
2024-11-11 23:57:23,W46,PAN,SO24003869,OEM Replenishment order,163288C00-54,,550.0,Jan,W2,Cell-5,,-550,,,-550,
2024-11-11 23:58:17,W46,TDC,SO24003872,OEM Replenishment order,163288C00-54,,100.0,Jan,W2,Cell-5,,-100,,,-100,
2024-11-11 23:59:13,W46,UKD,SO24003874,OEM Replenishment order,163288C00-54,,50.0,Jan,W2,Cell-5,,-50,,,-50,
2024-11-11 23:57:23,W46,PAN,SO24003869,OEM Replenishment order,163288C00-56,,350.0,Jan,W2,Cell-5,,-350,,,-350,
